gene_name	1-2	1-3	1-4	1-5	1-6	O-1	O-2	O-3
1700096K18Rik	251	585	386	919	344	618	516	367
1700097N02Rik	63.8487	0	0	0	0	0	0	0
1700101I11Rik	69.4198	30.2563	5.21534	65.2313	4.13271	7.11078	5.13826	35.0595
1700102P08Rik	0	0	31	68	0	22	65	27
1700109G14Rik	0	5	0	38.0471	11.0413	0	0	0
1700109H08Rik	23	15	40	8.09289	59	163	47	99
1700112H15Rik	4	0	0	0	8	16	0	1
1700113A16Rik	4.87E-14	47.496	11.0241	27.9578	4.97627	124.55	98.4167	93.6489
1700120C14Rik	126	104	126	144	133	74	97	92
1700122E12Rik	0	0	0	2	0	3	0	11
1700122O11Rik	0	0	0	0	0	0	0	22
1700123J17Rik	0	0	0	0	0	0	0	125
1700123O20Rik	575	1656.39	1018	1997.58	1676	3781.88	3645.81	2279
1700124L16Rik	0	0	0	17	0	43	11	0
1700125H20Rik	0	0	5	7	14	17	0	5
1810006J02Rik	0	7	143	5	0	0	0	0
1810009A15Rik	693.205	977.347	787.243	1261.7	942.757	2024.45	1550.29	1153.77
1810013L24Rik	3097	4412.01	5314.02	4126.99	4545.99	4039	4869	3933.01
1810014B01Rik	28.2889	30.2304	11.0043	9.2753	9.37927	28.835	52.4814	28.9514
1810014P07Rik	0	0	0	0	0	0	0	10
1810019D21Rik	0	1	0	80	0	46	0	0
1810020O05Rik	1	0	0	0	0	0	7	12.2958
1810021B22Rik	7	0	2	5	0	12	7	1
1810024B03Rik	12	0	4	4	8	5	10	9
1810026B05Rik	29265.9	15990.2	26902	18622.6	14863.1	17668.6	11153.7	10141
1810030O07Rik	175	229	106	86	148	344	460	472
1810037I17Rik	3498	4018	3697	7088.92	5684	6221	3919	2963
1810041H14Rik	3	4	1	13	2	10	0	0
1810044D09Rik	18	7	6	0	10	31	1	13
1810055G02Rik	295	718.002	649	542.001	888.999	710.999	1549	1781.01
1810058I24Rik	7441.4	7023.14	5933.95	10383	7830.4	10208.9	6391.74	5340.12
1810062G17Rik	0	0	0	0	0	0	0	32
2010001A14Rik	3	53	20	18	0	18	36	19
2010001K21Rik	5.56688	7.03368	12.6512	6.77105	1.24373	14.4454	27.7526	26.5165
2010013B24Rik	1	82	25	64	72	23	61	177
2010016I18Rik	96.0001	160	160.616	138.042	389	181.092	262.52	66.6455
2010109A12Rik	0	7	2	40	14	0	52	17
2010110E17Rik	0	1	39	0	0	54	65	10
2010110K18Rik	0	3	0	0	0	0	12	2
2010204K13Rik	187	22	87	83	41	19	28	22
2010310C07Rik	49	36	108	0	144	17	22	133
2010315B03Rik	5	104.964	0	511	5.29695	9.48E-17	39	7.05131
2010320M18Rik	56	151	0	142	47	55	159	105
2010320O07Rik	217	27	146	179	11	0	0	18
2200002D01Rik	13.3452	4.2258	5.26375	4.55037	3.23376	34.4215	23.6296	15.124
2210016F16Rik	249	187	344	57	543	356	806.978	565.999
2210016L21Rik	14	20	140	27	245	181	105	208
2210017I01Rik	0	0	12	0	0	0	0	0
2210020O09Rik	6	12	12	43	0	10	5	19
2210406H18Rik	0	169	29	180	109	310	435	264
2210408F21Rik	24	9	0	13	13	67	20	4
2210408I21Rik	0	49	33	0	0	0	0	0
2210414B05Rik	0	3	0	12	0	0	0	2
2210417A02Rik	0	7	0	0	0	22	27	0
2300009A05Rik	8	50	23	92	66.5492	118	248.344	125
2310001H17Rik	2862	3723.01	4421	6603.97	6746	5720	2375	3727
2310009B15Rik	742	313	275	902	599	565	75	406.956
2310010J17Rik	117	101	198	294	203	190	94	133
2310011J03Rik	1414	3166	1620	3299	2360	5280	5937	5108
2310015A10Rik	420	331	387	819	619.001	1345	631	498
2310022A10Rik	1416	2108.01	1183	1158	1556	539	1382.99	969.002
2310022B05Rik	719	608	214	862	256	1415	833	711
2310026L22Rik	0	17	8	14	2	10	17	2
2310033P09Rik	105	67	142	92	66	248	258	144
2310034G01Rik	0	0	0	33	13	25	50	0
2310034O05Rik	0	0	0	34	1	0	0	0
2310039H08Rik	82	158	213	335	159	345	407	229
2310040G24Rik	0	13	0	3	0	0	1	0
2310043M15Rik	143.44	158.595	52.8427	97.4139	171.928	138.327	40.5831	35.8466
2310043P16Rik	0	54	0	78	0	88	1	35
2310044K18Rik	0	0	24.3263	0	17	13	12	20
2310047D07Rik	28.4655	46.6329	54.3687	41	10.5083	147.884	170.064	39.0611
2310057M21Rik	112	90	263	170	210	19	466	228
2310058D17Rik	2	2	52	1	12	3	26	5
2310061I04Rik	44	120	42	235	39	218	204	235
2310067P03Rik	1	0	1	0	2	20	0	0
2310068J16Rik	0	0	0	41.4802	0	0	0	2.0175
2310069B03Rik	146	0	0	0	42	0	0	47
2410002F23Rik	0	14	339	15	158	241	361	250
2410003L11Rik	0	0	0	0	11	0	0	0
2410004B18Rik	580	785.999	686.002	845.001	1267	1869.01	1428	1114
2410006H16Rik	376	374	514	616	385	434	211	176
2410022M11Rik	130	413	189	341	447	319	324	122
2410131K14Rik	512	601	298	417	679	568	850	589
2500002B13Rik	179	65	30	46	4	91	135	14
2500004C02Rik	0	22	56.0709	91	0	183	96	0
2510002D24Rik	43	0	142	7	0	7	0	63
2510009E07Rik	0	1	0	0	0	0	0	39
2510017J16Rik	1	4	46	48	0	2	71	2
2510039O18Rik	717	1002	483	988	875	2236	5237	5397
2510046G10Rik	0	0	16.2712	1	0	25	18.1677	11.1521
2610001J05Rik	1742.99	1517.99	1062	2530	1456	4194.96	2898	2291
2610002M06Rik	121	54	207	399	128	478	358	338
2610005L07Rik	195.561	153.283	152.373	156.579	184.132	319.89	638.524	446.661
2610020C07Rik	0	0	1.02999	7.12579	1.01122	12.0477	11.1963	5.05608
2610021A01Rik	0	7.96E-41	1.42E-30	3.21E-36	2.26E-13	34.1551	0	1.12E-39
2610028D06Rik	0	21	0	0	31	0	0	68
2610035D17Rik	241	103	364	336.001	452.998	188	307	373.999
2610037D02Rik	19	32	28	197	0	10	10	6
2610301B20Rik	0	0	0	4	132	0	64	0
2610306M01Rik	64	85	127	56	101	108	89	0
2610307P16Rik	0	0	12	0	0	0	1	0
2610507B11Rik	240	736.001	720	767	928.001	491	604	234
2610507I01Rik	39	41	372	185	136	106	340	276
2610528A11Rik	41	0	0	38	23	28	20	0
2700029L08Rik	43	17	0	73	46	117	42	41
2700038G22Rik	0	159	25	0	76	174	1	0
2700049A03Rik	57	167	63	0	0	201	231	119
2700062C07Rik	6	34.5477	38.8044	0	0	158.569	46.5746	80.5214
2700081O15Rik	0	21	0	1	189	0	0	0
2700097O09Rik	1113	642	560	1219	1253	913	805.999	406
2700099C18Rik	43	33	24.9267	1.02E-41	0	0	0	62.2687
2810001G20Rik	5	25	14	45	4	55	27	43
2810002D19Rik	0	260	321	369.857	83	394	237.288	87.3274
2810004N23Rik	51	219	48	7	71	56	342	232
2810006K23Rik	0	69	0	12	0	98	86	11
2810013P06Rik	2121	1766	2546	3761	3520	2439	2872	2311
2810021J22Rik	6	0	0	63	0	0	1	37
2810025M15Rik	0	0	0	0	0	0	0	16
2810402E24Rik	78	331	106	233	86	292	375	129
2810403D21Rik	4	15	86	84	5	41	20	16
2810404F17Rik	0	10	0	0	0	0	14	1
2810405F17Rik	216	142	0	218	254	82	109	28
2810407A14Rik	0	0	2	79	0	0	0	0
2810408A11Rik	0	44	17	0	0	0	36	0
2810408I11Rik	0	0	12	8	121	16	5	0
2810414N06Rik	0	0	0	0	0	0	51	0
2810429I04Rik	2	0	0	3	2	2	1	4
2810442N19Rik	0	0	0	2	6	9	8	9
2810454H06Rik	215	104	178	52.7539	50	105	30	1
2900005J15Rik	66	48	61	178	0	57	107	91
2900052L18Rik	0	11	0	0	0	14	0	1
2900060B14Rik	33	64	36	91	5	62	34	17
2900076A07Rik	13	41.9667	31.92	67.3167	0	153.868	46.0964	42.9689
2900076G11Rik	1	11	10	42	40	7	2	4
2900089D17Rik	0	4	0	164	36	4	14	32
2900092N22Rik	0	35	0	34	0	0	0	0
2900093K20Rik	437	221	214	585	359	401	136	130
2900097C17Rik	339.785	546.999	580.522	1637	549	1338.78	1446.84	1057.62
3000002C10Rik	45.6499	25.9263	28.2191	47.759	27.2355	56.5841	32.1316	31.4192
3010003L21Rik	13	0	0	0	0	0	0	0
3110001I22Rik	405	949.736	147.049	286	697.199	495.216	1168.66	1031.76
3110009E18Rik	0	0	2	0	0	0	10	1
3110040N11Rik	0	12	26	19	46	1	138	60
3110053B16Rik	0	1.00335	0.72453	0	5.01421	1.00275	60.874	1.00119
3110056K07Rik	1413	1127	1230	1348	1120	1032	833	784
3110067C02Rik	6.25039	0	2.00675	0	2.00889	2.05235	9.20816	16.3124
3110070M22Rik	0	0	50	67	75	120	121	82
3110080O07Rik	2	29	0	0	0	15	24	0
3110082I17Rik	627.34	836.059	1340.73	711.295	980.375	863.829	845.496	1128.5
3110083C13Rik	0	0	0	0	0	60	29	15
3200001D21Rik	0	0	0	27	0	0	0	0
3300002P13Rik	0	0	0	0	37	0	0	0
3300005D01Rik	29	38	32	112	25	34	134	32
3830403N18Rik	76.0582	15.752	40	71.5315	93	15	0	73.349
3830406C13Rik	205.73	37	120	241	54	276.298	144.564	136
3830408C21Rik	0	0	0	0	8	125	0	1
4430402I18Rik	1.00331	1.00718	3.00751	0.622217	5.0382	0	4.02082	0
4632404H12Rik	113	102	108	21	126	171	84	69
4632415L05Rik	0	0	0	0	1	121	15.002	0
4632418H02Rik	10	110	0	18	92	65	3	0
4632427E13Rik	6813	5002.94	4209.93	4068	4986.98	3515	4110	2488
4731419I09Rik	0	32.6602	20.3489	0	2.30882	59.9507	76.0108	23.7201
4732416N19Rik	199	0	2	0	36	0	28	10
4732419C18Rik	0	0	0	46	9	0	0	0
4732440D04Rik	481.022	500.529	520.749	430.602	653.168	359.551	364.507	635.699
4732463B04Rik	5.06301	1.0128	0	10.1148	24.0968	0	7.86968	13.1372
4732465J04Rik	292	783.997	407	835.001	1219.99	849	758.998	1061
4732471J01Rik	7.99E-44	4.73974	12.9156	4.97E-35	2.03616	25.1451	10.2513	10.9044
4732487G21Rik	5.90E-34	11.0171	2.44E-31	5.34226	64.2671	5.68E-19	30.6422	7.74E-37
4732490B19Rik	0	0	89	0	0	0	0	0
4732491K20Rik	0	0	0	0	0	0	10	0
4732496C06Rik	138	59	4	137	150	29	204	140
4831440D22Rik	0	31	4	23	0	0	0	0
4833407H14Rik	13329.1	18960	17262	22414.4	29662.5	21649.8	16967.7	17788.3
4833408A19Rik	17	1	0	53	0	52	35	63
4833412C05Rik	57	30	1	76	36	83	25	40
4833413E03Rik	0	2	12	0	0	13	0	0
4833413G10Rik	17	1.08244	27	2.076	0	0	0	0
4833417C18Rik	1	0	3	10	0	5	5	9
4833418N02Rik	22	95	105	130	97	325	273	180
4833419F23Rik	211	66	176	424	110	328	196.256	157.474
4833420G17Rik	700.09	1537.95	1674.92	695.504	823.722	1308.99	1939.82	1068.04
4833421G17Rik	12	3	2	44	6	7	3	6
4833427F10Rik	26	30	25	77	42	64	114	78
4833438C02Rik	132.279	768.475	473.041	644.734	1263.59	2064.82	1248.6	1967.2
4833439L19Rik	1347.21	1389.64	1060.14	1026.61	1658.15	1889.54	4419.72	3921.05
4833445I07Rik	0	6	0	4	4	9	60	294
4921507G05Rik	0	65	0	0	0	0	0	0
4921509O07Rik	40	1	0	67	4	26	89	77
4921511C10Rik	48	2	0	0	1	15	12	0
4921513I03Rik	0	0	0	25	0	1	0	0
4921514A10Rik	40.7947	23.022	37.1065	43.3561	34.4222	59.5927	40.4991	42.4687
4921517D22Rik	3.00255	6.01071	3.00194	9.2431	4.62131	9.0084	8.02689	5.77624
4921524J17Rik	214.725	201.492	136.7	286.7	111.496	539.028	182.126	197.896
4921531C22Rik	1	49	113	196	136	347	269	317
4921533I20Rik	0	0	4	5	2.005	4	14.0207	14
4930402H24Rik	317	779.999	385.589	267.374	193	930.565	597.101	468.723
4930403D09Rik	0	0	19.4816	22.1852	11.6373	3	2.03993	1.22E-06
4930403P22Rik	0	51	53	93	53	26	23	7
4930404A12Rik	0	3.84E-35	0	0.13286	1.33238	17.7574	16.2797	9.20814
4930404I05Rik	37.2304	48.9284	31.0969	58.5242	34.0296	73.1477	8.20665	12.0151
4930404N11Rik	55.3295	12.3423	3.49E-08	1.29E-23	7.40066	75.4548	17.0623	20.946
4930405A21Rik	4	0	0	0	0	6	0	27
4930405G09Rik	0	0	0	27	0	0	0	0
4930405O22Rik	0	0	0	0	0	11	0	0
4930412C18Rik	44	49	34	2	19	3	11	0
4930412F12Rik	0	0	35	0	0	0	0	0
4930412L05Rik	0	0	0	0	0	24	1	0
4930412M03Rik	0	10	48	48	0	0	85	76
4930413G21Rik	29	3	24	59	16	4	5	7
4930417H01Rik	0	1	1	10	0	0	0	0
4930417O13Rik	1	29	0	0	5	24	4	3
4930426I24Rik	0	0	0	27	0	0	0	35
4930426L09Rik	42	20	0	0	30	115	54	19
4930428O21Rik	0	0	57	0	0	0	0	0
4930430E12Rik	2817	1551	2554.99	1353	1280	487	610	758
4930430F08Rik	0	6	0	0	0	0	33	24
4930431P03Rik	10.2898	26.924	0	143.572	48.4727	104.261	55.4125	8.11676
4930431P19Rik	183.274	0	57.0024	0	88.8955	144.379	75.4337	125.664
4930432B10Rik	7	1	1	3	0	0	0	0
4930438A08Rik	260	20	233	239	149	157	920.002	959
4930439A04Rik	19	2	8	18	13	0	16	11
4930444A19Rik	1.0251	4.06685	6.22101	21.1916	0	60.2135	33.6613	1.06581
4930445E18Rik	508	111	185	444	81	383	91	89
4930445N18Rik	0	23	0	8	0	0	4	24
4930447M23Rik	0	0	1	1	0	39	16	0
4930452A19Rik	0	0	0	0	19	0	0	0
4930453N24Rik	1003.94	562.645	1003.76	617.149	933.12	1537.26	1426.78	1065.04
4930455C13Rik	9.63253	2.25132	9.30692	3.06587	1.03348	21.8802	10.8317	18.3408
4930455G09Rik	0	15	0	10	0	1	0	0
4930455M05Rik	0	186	0	0	38	0	55	0
4930458D05Rik	158.578	224.129	176.276	98.4966	257.592	312.901	242.08	162.562
4930459C07Rik	734	235	344.998	575.999	571	190	175	273
4930463O16Rik	0	0	0	0	0	0	12	11
4930470G03Rik	0	0	18.3397	0	0	0	0	0
4930471E19Rik	0	0	13	0	0	0	0	0
4930473A02Rik	0	2.08517	1.03262	11.5133	0	1.02524	21.9138	9.74347
4930477G07Rik	46	0	10	27	0	7	0	0
4930478L05Rik	1	0	66	18	27	20	46	9
4930478M09Rik	0	0	0	0	0	10	0	1
4930479D17Rik	0	15	0	0	16	0	5	8
4930480C01Rik	465	77	77	146	201	172	17	109
4930480G23Rik	208	0	0	117	0	36	0	0
4930480M12Rik	12	1	0	3	0	0	16	15
4930481A15Rik	329.683	596.74	389.486	836.019	607.04	718.953	713.663	613.113
4930481B07Rik	0	1	1	0	0	0	0	62
4930500F10Rik	0	0	0	0	19.036	0	49.9544	6.61161
4930500M09Rik	0.0064925	2.16E-22	1.22E-10	144.282	0	109.644	1.17E-09	25.3468
4930503B20Rik	16.6797	42.8385	3.12861	0	8.07E-05	0	0	0
4930503E24Rik	6.13396	1.08666	3	2	7.16928	7.23118	8.07913	10
4930503L19Rik	77	72	228	281	43	53	146	478
4930505N22Rik	26	2	0	35	0	8	14	0
4930506C21Rik	34.0649	1.00562	16.749	21.1634	12.0036	13.157	7.32505	7.02546
4930509E16Rik	0	0	0	0	0	0	35	0
4930509K18Rik	57	36	11	6	14	0	13	21
4930512H18Rik	487.434	207.148	728.282	453.033	351.842	252.502	140.88	105.449
4930513N10Rik	1	4	0	3	0	0	0	137
4930515G01Rik	41	32	5	138	88	149.234	141	89
4930517E14Rik	13	0	0	0	0	0	1	16
4930517G19Rik	0	107	1	0	1	0	0	19
4930518I15Rik	166	236	137	345	261	219	110	192
4930519F09Rik	2	4.10959	1	0	0	4	2.0077	1.00782
4930519G04Rik	61	105	215	127	243	108	93	67
4930519P11Rik	2	0	0	0	0	103	0	0
4930522L14Rik	2	4.27125	8.41166	1.04686	29.4401	0	47.2778	3.15509
4930523C07Rik	9471.13	4327.81	5799.74	6081.03	3743.71	6635.68	6374.99	5385.03
4930524O07Rik	0	0	3	0	0	9	12.6126	0
4930526A20Rik	94.631	58.423	93.6573	136.898	67.8503	203.011	341.853	223.369
4930528J11Rik	0	1.0264	0	56.1441	0	0	0	0
4930529C04Rik	1.27216	1.25E-07	2.82E-29	0	0	0	8.09875	2.40823
4930532G15Rik	0	0	0	0	0	0	10	0
4930532M18Rik	0	0	0	17	0	0	0	0
4930534D22Rik	0	2.18841	0	0	7	6	30	59.0356
4930537H20Rik	0	0	0	0	3	3	19	0
4930539J05Rik	2	0	0	1.00415	1.00983	40	1	2.00435
4930543E12Rik	56	0	0	73	76	0	31	48
4930543I11Rik	0	0	0	0	44	0	0	0
4930544D05Rik	0	0	0	0	0	20	0	0
4930549G23Rik	18.02	5.00302	0	8	0	6.01074	11.038	12.0441
4930550L24Rik	0	60	0	0	0	0	0	0
4930551I23Rik	0	0	0	39	0	0	0	0
4930551O13Rik	83	1	70	81	0	24	3	0
4930553M12Rik	0	0	2	0	0	0	12	0
4930554I06Rik	0	25	0	32	0	0	1	0
4930562F07Rik	533.909	311.183	282.279	458.982	190.28	492.343	181.034	125.963
4930563E22Rik	3	0	82.0752	167.664	114	0	76	60.4066
4930568A12Rik	0	20	20	13	0	12	14	19
4930568D16Rik	0	0	0	0	0	0	0	28
4930570N18Rik	9	6	17	21	17	7	4	13
4930577N17Rik	0	109.543	66.3006	142.881	161.675	97.4644	107.34	65.9746
4930578M07Rik	0	39	0	0	55	61	24	9
4930579C12Rik	5.98374	63.508	44.2117	155.781	195.488	70.6846	107.235	38.4366
4930579D07Rik	0	50	0	0	42	0	0	0
4930579G24Rik	0	71.912	0	77	0	91	170	284.932
4930579K19Rik	10	25	41	32	116	19	57	40
4930580E04Rik	0	13	0	0	0	20	11	45.5771
4930581F22Rik	938.796	693.683	850	824	1599	1159	1012	911
4930589L23Rik	13	47	75	51	143	36	66	6
4930589O11Rik	168.271	228.517	102.161	356.706	88.2126	82.604	192.368	345.349
4930592C13Rik	0	0	0	0	0	17	0	0
4930592I03Rik	0	0	0	17	0	0	0	0
4930594C11Rik	1.90757	1.13117	71.0597	50.277	3.38905	3.8644	64.2176	85.332
4930597A21Rik	0	1	0	0	0	9	0	0
4930597O21Rik	0	85	0	46	22	3	168	66
4930599N23Rik	370.521	626.057	534.612	280.38	302.329	297.501	414.065	253.001
4931406B18Rik	29	48	43	369	128	52	145	21
4931406C07Rik	3	6	0	20	160	50	5	0
4931406G06Rik	9	80	34.8667	18.0348	63	0	18.0428	68
4931406P16Rik	305.14	207.315	302.623	350.307	286.288	277.837	801.875	635.982
4931413K12Rik	113	8	11	145	2	76	18	9
4931414P19Rik	0	17	0	0	0	0	94	116
4931415C17Rik	0	52	0	103	195	70	0	0
4931422A03Rik	1	12	0	0	0	9	2	5
4931428F04Rik	8	2	4.66697	4	0	13	16	87
4931428L18Rik	23	153.118	87	182	36	101	42	63
